Sorted Linked List:
Date    Category        Cost
2022/5/1        0       50
2022/5/1        1       20
2022/5/2        0       100
2022/5/2        0       150
2022/5/3        1       150
2022/5/4        2       200
2022/5/5        1       50
2022/5/7        0       100
2022/5/9        2       150
2022/5/9        3       200
2022/5/15       0       100
2022/5/15       3       150
2022/5/16       1       50
2022/5/16       1       100
2022/5/21       0       120
2022/5/21       2       50
2022/5/23       3       50
2022/5/25       3       100
2022/5/27       1       100
2022/5/28       3       20
2022/5/29       1       170
2022/5/30       2       50
Occurence List
Date    Count   InitPos
1       2       0
2       2       2
3       1       4
4       1       5
5       1       6
7       1       7
9       2       8
15      2       10
16      2       12
21      2       14
23      1       16
25      1       17
27      1       18
28      1       19
29      1       20
30      1       21
